,country,year,sex-age,cases,sex,age
0,AD,1989,m04,,m,0-4
1,AD,1990,m04,,m,0-4
2,AD,1991,m04,,m,0-4
3,AD,1992,m04,,m,0-4
4,AD,1993,m04,,m,0-4
5,AD,1994,m04,,m,0-4
6,AD,1996,m04,,m,0-4
7,AD,1997,m04,,m,0-4
8,AD,1998,m04,,m,0-4
9,AD,1999,m04,,m,0-4
10,AD,2000,m04,,m,0-4
11,AD,2001,m04,,m,0-4
12,AD,2002,m04,,m,0-4
13,AD,2003,m04,,m,0-4
14,AD,2004,m04,,m,0-4
15,AD,2005,m04,0.0,m,0-4
16,AD,2006,m04,0.0,m,0-4
17,AD,2007,m04,,m,0-4
18,AD,2008,m04,0.0,m,0-4
19,AE,1980,m04,,m,0-4
20,AE,1981,m04,,m,0-4
21,AE,1982,m04,,m,0-4
22,AE,1983,m04,,m,0-4
23,AE,1984,m04,,m,0-4
24,AE,1985,m04,,m,0-4
25,AE,1986,m04,,m,0-4
26,AE,1987,m04,,m,0-4
27,AE,1988,m04,,m,0-4
28,AE,1989,m04,,m,0-4
29,AE,1990,m04,,m,0-4
30,AE,1991,m04,,m,0-4
31,AE,1992,m04,,m,0-4
32,AE,1994,m04,,m,0-4
33,AE,1996,m04,,m,0-4
34,AE,1998,m04,,m,0-4
35,AE,1999,m04,,m,0-4
36,AE,2000,m04,,m,0-4
37,AE,2001,m04,,m,0-4
38,AE,2002,m04,,m,0-4
39,AE,2003,m04,,m,0-4
40,AE,2004,m04,,m,0-4
41,AE,2005,m04,,m,0-4
42,AE,2006,m04,0.0,m,0-4
43,AE,2007,m04,0.0,m,0-4
44,AE,2008,m04,0.0,m,0-4
45,AF,1980,m04,,m,0-4
46,AF,1981,m04,,m,0-4
47,AF,1982,m04,,m,0-4
48,AF,1983,m04,,m,0-4
49,AF,1984,m04,,m,0-4
50,AF,1985,m04,,m,0-4
51,AF,1986,m04,,m,0-4
52,AF,1987,m04,,m,0-4
53,AF,1988,m04,,m,0-4
54,AF,1989,m04,,m,0-4
55,AF,1990,m04,,m,0-4
56,AF,1991,m04,,m,0-4
57,AF,1997,m04,,m,0-4
58,AF,1998,m04,,m,0-4
59,AF,1999,m04,,m,0-4
60,AF,2000,m04,,m,0-4
61,AF,2001,m04,,m,0-4
62,AF,2002,m04,,m,0-4
63,AF,2003,m04,,m,0-4
64,AF,2004,m04,,m,0-4
65,AF,2005,m04,,m,0-4
66,AF,2006,m04,,m,0-4
67,AF,2007,m04,,m,0-4
68,AF,2008,m04,,m,0-4
69,AG,1980,m04,,m,0-4
70,AG,1981,m04,,m,0-4
71,AG,1982,m04,,m,0-4
72,AG,1983,m04,,m,0-4
73,AG,1984,m04,,m,0-4
74,AG,1985,m04,,m,0-4
75,AG,1986,m04,,m,0-4
76,AG,1987,m04,,m,0-4
77,AG,1988,m04,,m,0-4
78,AG,1989,m04,,m,0-4
79,AG,1990,m04,,m,0-4
80,AG,1991,m04,,m,0-4
81,AG,1992,m04,,m,0-4
82,AG,1995,m04,,m,0-4
83,AG,1996,m04,,m,0-4
84,AG,1997,m04,,m,0-4
85,AG,1998,m04,,m,0-4
86,AG,1999,m04,,m,0-4
87,AG,2000,m04,,m,0-4
88,AG,2001,m04,,m,0-4
89,AG,2002,m04,,m,0-4
90,AG,2003,m04,,m,0-4
91,AG,2004,m04,,m,0-4
92,AG,2005,m04,,m,0-4
93,AG,2006,m04,,m,0-4
94,AG,2007,m04,0.0,m,0-4
95,AG,2008,m04,,m,0-4
96,AI,1980,m04,,m,0-4
97,AI,1981,m04,,m,0-4
98,AI,1982,m04,,m,0-4
99,AI,1983,m04,,m,0-4
100,AI,1984,m04,,m,0-4
101,AI,1985,m04,,m,0-4
102,AI,1986,m04,,m,0-4
103,AI,1987,m04,,m,0-4
104,AI,1988,m04,,m,0-4
105,AI,1989,m04,,m,0-4
106,AI,1990,m04,,m,0-4
107,AI,1991,m04,,m,0-4
108,AI,1992,m04,,m,0-4
109,AI,1995,m04,,m,0-4
110,AI,1997,m04,,m,0-4
111,AI,2001,m04,,m,0-4
112,AI,2002,m04,,m,0-4
113,AI,2003,m04,,m,0-4
114,AI,2004,m04,,m,0-4
115,AI,2006,m04,,m,0-4
116,AI,2007,m04,,m,0-4
117,AI,2008,m04,,m,0-4
118,AL,1980,m04,,m,0-4
119,AL,1981,m04,,m,0-4
120,AL,1982,m04,,m,0-4
121,AL,1983,m04,,m,0-4
122,AL,1984,m04,,m,0-4
123,AL,1985,m04,,m,0-4
124,AL,1986,m04,,m,0-4
125,AL,1987,m04,,m,0-4
126,AL,1988,m04,,m,0-4
127,AL,1989,m04,,m,0-4
128,AL,1990,m04,,m,0-4
129,AL,1991,m04,,m,0-4
130,AL,1994,m04,,m,0-4
131,AL,1995,m04,,m,0-4
132,AL,1996,m04,,m,0-4
133,AL,1997,m04,,m,0-4
134,AL,1998,m04,,m,0-4
135,AL,1999,m04,,m,0-4
136,AL,2000,m04,,m,0-4
137,AL,2001,m04,,m,0-4
138,AL,2002,m04,,m,0-4
139,AL,2003,m04,,m,0-4
140,AL,2004,m04,,m,0-4
141,AL,2005,m04,0.0,m,0-4
142,AL,2006,m04,1.0,m,0-4
143,AL,2007,m04,0.0,m,0-4
144,AL,2008,m04,1.0,m,0-4
145,AM,1980,m04,,m,0-4
146,AM,1981,m04,,m,0-4
147,AM,1982,m04,,m,0-4
148,AM,1983,m04,,m,0-4
149,AM,1984,m04,,m,0-4
150,AM,1985,m04,,m,0-4
151,AM,1986,m04,,m,0-4
